,ZIP_CODE,COUNT
0,60601,9938
1,60602,3501
2,60603,3125
3,60604,2508
4,60605,18543
5,60606,5647
6,60607,32410
7,60608,114188
8,60609,121368
9,60610,23474
10,60611,17370
12,60613,46175
13,60614,69038
14,60615,37013
15,60616,50452
16,60617,150110
17,60618,138429
18,60619,123694
19,60620,133199
20,60621,76007
21,60622,85331
22,60623,131140
23,60624,73947
24,60625,83716
25,60626,39335
26,60628,158353
27,60629,135404
28,60630,85053
29,60631,41577
30,60632,129010
31,60633,16766
32,60634,107338
33,60636,93261
34,60637,63051
35,60638,85283
36,60639,102825
37,60640,57961
38,60641,100117
39,60642,33383
40,60643,102950
41,60644,71014
42,60645,44944
43,60646,53232
44,60647,130766
45,60649,57988
46,60651,85156
47,60652,62851
48,60653,39987
49,60654,14710
50,60655,41669
51,60656,29625
52,60657,62806
53,60659,42057
54,60660,36180
55,60661,6558
57,60707,26269
58,60827,5443
